
# Surface 0 of 1 surfaces

# Curve title: "x/(xh-xl)"

# IsoCurve 0, 100 points
# x y z type
 0  0  0 i
 1.0101  0  0.010101 i
 2.0202  0  0.020202 i
 3.0303  0  0.030303 i
 4.0404  0  0.040404 i
 5.05051  0  0.0505051 i
 6.06061  0  0.0606061 i
 7.07071  0  0.0707071 i
 8.08081  0  0.0808081 i
 9.09091  0  0.0909091 i
 10.101  0  0.10101 i
 11.1111  0  0.111111 i
 12.1212  0  0.121212 i
 13.1313  0  0.131313 i
 14.1414  0  0.141414 i
 15.1515  0  0.151515 i
 16.1616  0  0.161616 i
 17.1717  0  0.171717 i
 18.1818  0  0.181818 i
 19.1919  0  0.191919 i
 20.202  0  0.20202 i
 21.2121  0  0.212121 i
 22.2222  0  0.222222 i
 23.2323  0  0.232323 i
 24.2424  0  0.242424 i
 25.2525  0  0.252525 i
 26.2626  0  0.262626 i
 27.2727  0  0.272727 i
 28.2828  0  0.282828 i
 29.2929  0  0.292929 i
 30.303  0  0.30303 i
 31.3131  0  0.313131 i
 32.3232  0  0.323232 i
 33.3333  0  0.333333 i
 34.3434  0  0.343434 i
 35.3535  0  0.353535 i
 36.3636  0  0.363636 i
 37.3737  0  0.373737 i
 38.3838  0  0.383838 i
 39.3939  0  0.393939 i
 40.404  0  0.40404 i
 41.4141  0  0.414141 i
 42.4242  0  0.424242 i
 43.4343  0  0.434343 i
 44.4444  0  0.444444 i
 45.4545  0  0.454545 i
 46.4646  0  0.464646 i
 47.4747  0  0.474747 i
 48.4848  0  0.484848 i
 49.4949  0  0.494949 i
 50.5051  0  0.505051 i
 51.5152  0  0.515152 i
 52.5253  0  0.525253 i
 53.5354  0  0.535354 i
 54.5455  0  0.545455 i
 55.5556  0  0.555556 i
 56.5657  0  0.565657 i
 57.5758  0  0.575758 i
 58.5859  0  0.585859 i
 59.596  0  0.59596 i
 60.6061  0  0.606061 i
 61.6162  0  0.616162 i
 62.6263  0  0.626263 i
 63.6364  0  0.636364 i
 64.6465  0  0.646465 i
 65.6566  0  0.656566 i
 66.6667  0  0.666667 i
 67.6768  0  0.676768 i
 68.6869  0  0.686869 i
 69.697  0  0.69697 i
 70.7071  0  0.707071 i
 71.7172  0  0.717172 i
 72.7273  0  0.727273 i
 73.7374  0  0.737374 i
 74.7475  0  0.747475 i
 75.7576  0  0.757576 i
 76.7677  0  0.767677 i
 77.7778  0  0.777778 i
 78.7879  0  0.787879 i
 79.798  0  0.79798 i
 80.8081  0  0.808081 i
 81.8182  0  0.818182 i
 82.8283  0  0.828283 i
 83.8384  0  0.838384 i
 84.8485  0  0.848485 i
 85.8586  0  0.858586 i
 86.8687  0  0.868687 i
 87.8788  0  0.878788 i
 88.8889  0  0.888889 i
 89.899  0  0.89899 i
 90.9091  0  0.909091 i
 91.9192  0  0.919192 i
 92.9293  0  0.929293 i
 93.9394  0  0.939394 i
 94.9495  0  0.949495 i
 95.9596  0  0.959596 i
 96.9697  0  0.969697 i
 97.9798  0  0.979798 i
 98.9899  0  0.989899 i
 100  0  1 i

# IsoCurve 1, 100 points
# x y z type
 0  1.11111  0 i
 1.0101  1.11111  0.010101 i
 2.0202  1.11111  0.020202 i
 3.0303  1.11111  0.030303 i
 4.0404  1.11111  0.040404 i
 5.05051  1.11111  0.0505051 i
 6.06061  1.11111  0.0606061 i
 7.07071  1.11111  0.0707071 i
 8.08081  1.11111  0.0808081 i
 9.09091  1.11111  0.0909091 i
 10.101  1.11111  0.10101 i
 11.1111  1.11111  0.111111 i
 12.1212  1.11111  0.121212 i
 13.1313  1.11111  0.131313 i
 14.1414  1.11111  0.141414 i
 15.1515  1.11111  0.151515 i
 16.1616  1.11111  0.161616 i
 17.1717  1.11111  0.171717 i
 18.1818  1.11111  0.181818 i
 19.1919  1.11111  0.191919 i
 20.202  1.11111  0.20202 i
 21.2121  1.11111  0.212121 i
 22.2222  1.11111  0.222222 i
 23.2323  1.11111  0.232323 i
 24.2424  1.11111  0.242424 i
 25.2525  1.11111  0.252525 i
 26.2626  1.11111  0.262626 i
 27.2727  1.11111  0.272727 i
 28.2828  1.11111  0.282828 i
 29.2929  1.11111  0.292929 i
 30.303  1.11111  0.30303 i
 31.3131  1.11111  0.313131 i
 32.3232  1.11111  0.323232 i
 33.3333  1.11111  0.333333 i
 34.3434  1.11111  0.343434 i
 35.3535  1.11111  0.353535 i
 36.3636  1.11111  0.363636 i
 37.3737  1.11111  0.373737 i
